,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LD_INS,PAPI_LD_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_RES_STL,PAPI_RES_STL,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SR_INS,PAPI_SR_INS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_SP,PAPI_VEC_SP,PAPI_VEC_SP
19,1777,13403,70521,1955,15215,74589,1,16,673,1261,12066,52115,1778,13147,69854,1217,24403,18501,171,2062,4060,0,59,315,32,261,1198,15,102,214,81,543,1301,0,0,0,1803,16927,90332,1529,11261,86307,93,757,1483,187,143,189,416,169,448,40,581,1216,336,281,688,208,802,1536,112,1512,2910,123,117,359,74,1148,1830,1134,1317,640,356,118,423,105,619,179,283,213,606,10,37,164,1,16,53,373,841,2248,51,1449,2901,339,170,372,74,1114,1812,75,1501,2869,0,40,131,6,16,394,90,84,154,692,178,469,0,0,0,331,1518,2909,62,1030,2235,131,1471,3451,7,27,179,2252,20341,101294,3351,33499,156924,0,5053,1738,258,57,383,3901,46646,125496,986,2387,22562,0,0,0,993,13151,55623,3034,47949,171097,392,153,19902,0,185,325,0,2,0,3701,22478,197567,10418,90185,406216,0,0,0,0,0,0
20,1777,13144,70521,1957,15215,74589,1,3,677,1262,12066,52115,1781,13147,69916,1218,1224,18399,171,2062,4059,6,144,418,57,299,1125,7,147,470,56,431,1014,0,0,0,1887,17010,90024,1424,11271,86387,90,761,1460,140,130,175,424,188,466,34,540,1174,313,297,677,208,748,1577,119,1516,2815,118,122,337,66,1096,1708,2598,710,1279,321,110,426,92,124,218,247,178,695,17,40,154,7,5,55,356,840,1796,80,1486,2938,325,181,754,68,1124,1764,125,1509,2893,0,28,130,0,13,376,81,85,139,664,156,866,0,0,0,212,1518,2923,39,1066,2155,1058,1500,2659,3,36,179,2251,20341,102635,3350,33499,156924,0,30155,1483,257,53,647,3735,23240,111884,317,24792,69261,0,0,0,993,13151,55623,3244,14943,190443,359,140,19161,15,161,336,0,0,0,3711,62959,230557,10424,90185,406216,0,0,37,0,0,0
21,1777,13144,70521,1957,15215,74589,2,2,658,1262,12066,52115,1781,13147,69846,1218,1252,18399,171,2062,4059,3,52,355,43,236,1144,36,130,108,51,413,1648,0,0,37,1851,17136,88446,1528,11339,86058,91,754,1549,153,147,192,438,188,408,26,528,1171,326,261,1272,209,759,1550,91,1534,3279,126,112,366,74,984,1858,1090,639,1501,349,123,420,142,103,191,259,223,568,14,33,146,1,5,45,358,842,1735,183,1532,3249,368,173,397,68,994,1794,70,1536,2952,1,33,157,0,27,307,61,80,176,489,153,661,0,0,14,242,1522,2993,85,1045,2158,332,2299,2533,6,17,168,2252,20341,101294,3348,33499,156924,0,4395,9206,270,19,390,3735,24402,133630,460,4178,13937,0,0,0,993,13151,55623,4173,14450,188701,379,124,22388,3,204,344,0,0,2,3684,23673,197116,10424,90185,406216,0,0,0,0,0,0
22,1777,13144,70521,1957,15215,74739,1,2,639,1261,12066,52115,1778,13147,69835,1227,1071,18399,171,2062,4120,2,149,363,61,381,1091,20,143,111,51,443,1211,0,0,0,1815,17130,88146,1518,11840,85523,91,756,1497,173,122,150,420,847,433,34,471,1212,326,281,672,211,780,1530,142,1452,2853,118,116,364,60,1106,1852,1144,1626,1168,348,188,597,95,74,163,265,125,1197,24,41,227,7,2,57,357,1417,1689,326,1507,2912,341,180,378,54,714,1842,83,1462,2893,2,34,138,3,21,334,79,111,200,605,141,2366,0,0,0,208,1444,4252,16,995,2136,184,1425,2794,4,15,180,2252,20341,101294,3351,33499,157376,0,3487,2098,303,48,336,3735,25896,112382,493,3166,15116,0,0,0,993,13151,55623,13248,21937,174296,382,447,17634,12,159,306,1,3,0,3715,21325,261546,10418,90185,410655,0,0,0,0,0,0
23,1777,13144,70521,1957,15215,74589,1,2,639,1261,12066,52629,1778,13392,69821,1245,1085,18399,171,2062,4059,0,66,347,75,224,1004,18,174,168,85,387,1048,0,0,0,1945,17213,88628,1524,11305,85295,93,754,1470,181,133,153,599,186,557,37,489,1206,319,268,747,219,780,1510,82,1414,2899,100,114,695,64,1124,1808,1284,1010,1002,394,139,408,916,97,207,209,202,743,13,43,176,6,12,52,390,848,1748,259,1432,3085,341,385,364,64,1032,1882,122,1500,3701,2,56,353,0,29,363,70,120,372,559,307,677,0,0,0,202,1401,3036,123,990,2184,125,1442,2518,7,80,216,2252,20341,101294,3351,33499,156924,0,2607,1583,294,121,518,3818,24070,112714,499,2548,42518,0,0,0,993,13151,55805,3430,14678,169195,401,137,18938,43,178,330,1,2,0,8500,21137,327392,10418,90185,406216,0,0,0,0,0,0
24,1777,13144,71223,1957,15215,74589,2,2,1014,1262,12066,52115,1781,13148,69838,1216,1067,18399,171,2062,4059,4,271,468,27,241,1809,19,255,71,89,364,1076,0,0,0,1772,17215,90392,1452,11314,86112,109,754,1465,187,129,441,437,204,401,40,473,1224,299,269,668,198,771,1824,94,1492,2840,116,102,368,44,1084,1706,924,803,1447,343,173,98,283,77,639,217,222,692,16,38,186,5,9,54,370,817,1690,99,1433,2980,280,183,363,72,1148,1664,82,1487,3239,0,55,136,7,19,287,105,106,220,549,609,497,0,0,1,182,1487,2977,34,1009,2143,123,1461,2645,18,16,180,2252,20585,101295,3350,33499,156924,0,1865,36910,268,65,431,3984,24900,113129,6161,2210,13903,0,0,0,993,13151,55623,3180,14476,171156,374,159,18889,17,176,337,0,11,0,3859,22438,300374,10424,90185,406216,0,0,0,0,0,0
25,1775,13144,70521,1955,15215,74589,1,2,757,1262,12066,52129,1781,13148,69851,1217,1067,18435,171,2062,4059,0,89,388,62,170,1015,8,138,128,75,1632,1053,0,0,0,1857,17183,90379,1507,11256,85820,89,940,1468,170,146,148,397,195,357,43,436,1215,326,547,684,212,740,1661,118,2208,2898,118,120,501,64,1138,1890,1224,875,573,322,166,65,155,113,208,262,243,712,9,42,172,6,3,55,356,854,1698,113,2474,3141,208,184,377,64,1138,1846,113,1538,3091,0,50,121,3,38,284,131,121,203,831,301,469,0,7,0,295,1450,3228,63,1034,2179,96,1485,3789,28,26,214,2252,20341,101294,3351,33499,156924,0,2152,2171,278,75,505,3486,34943,119852,811,2521,15514,0,0,0,993,13151,55623,3015,14658,200692,385,106,18745,0,171,353,0,0,0,3765,20882,293321,10424,90185,406216,0,0,0,0,0,0
26,1777,13144,70521,1957,15215,74589,1,2,722,1262,12066,52115,1778,13148,69833,1217,1067,18399,171,2062,4059,3,110,393,51,131,984,6,142,88,47,418,1125,0,0,0,1810,17074,88902,1523,11258,88571,102,760,1462,187,167,158,394,196,391,42,485,1201,306,276,688,201,734,1549,73,1491,2834,108,110,431,62,1122,1838,1200,1158,681,329,183,36,100,67,142,276,232,422,9,35,156,0,6,53,1036,798,2439,75,1505,3114,306,168,621,64,1110,1732,63,1547,2958,0,52,132,8,19,284,95,125,161,667,441,2312,0,0,0,249,1511,3065,70,1022,2112,79,1330,2702,5,23,167,2252,20341,101294,3351,33499,156924,0,1041,2430,299,28,547,3652,23157,123172,575,2497,37485,0,0,0,993,13151,55623,3088,14429,193033,392,120,18889,21,155,322,0,0,0,3725,22826,285626,10424,90185,406216,0,0,0,0,0,0
27,1777,13144,70521,1957,15705,74589,1,2,671,1262,12066,52115,1781,13148,69757,1217,1067,18399,171,2062,4059,5,54,436,39,173,938,1,179,263,33,308,2137,0,0,0,1858,17156,92876,1521,11382,86562,90,756,1681,169,165,150,412,196,411,40,545,1217,297,266,932,211,758,1491,104,1458,3692,121,129,437,74,1130,1822,899,884,610,337,188,87,119,73,120,316,227,375,14,158,131,7,2,61,591,814,1733,105,1461,4763,225,260,438,56,1108,1714,81,1515,2943,2,28,132,2,18,287,65,113,212,366,162,886,0,0,3,167,1448,2884,25,985,2155,119,1465,2492,2,24,236,2252,20341,101533,3351,33499,156924,0,438,2536,244,68,669,4233,27556,112631,524,1711,16521,0,0,0,993,13151,55623,3296,15531,187631,431,769,18746,0,176,310,0,39,0,3718,20956,283532,10424,90185,406216,0,0,0,0,0,0
28,1775,13144,70521,1955,15215,75561,1,2,662,1261,12066,52115,1781,13148,69796,1216,1067,18399,171,2323,4059,1,243,397,53,204,1160,4,150,93,77,323,961,0,0,0,1873,17316,93898,1530,11295,86688,97,762,1465,171,136,144,405,201,413,41,401,1148,310,236,680,212,764,1548,57,1479,2949,125,120,464,62,1120,1746,1298,847,558,300,138,327,151,63,145,276,439,681,13,57,255,0,4,55,490,783,1695,109,1476,3475,310,188,381,68,1106,1744,80,1529,2888,1,27,108,0,19,269,93,135,207,698,124,505,0,1,0,386,1450,2950,84,1013,2142,87,1466,2322,17,14,155,2252,20341,101294,3351,35020,156924,0,218,8133,127,65,503,3984,23821,114623,351,1893,14204,0,0,0,993,13151,55623,3261,14300,173241,392,167,21490,18,168,293,0,4,9,6740,21766,309895,10424,91308,406216,0,0,0,0,0,0
29,1777,13144,70521,1957,15215,74589,2,2,664,1262,12109,52179,1781,13148,69831,1217,1067,18399,171,2062,4288,3,187,335,47,257,1067,7,217,91,77,413,1034,0,0,0,1766,17049,93473,1507,11275,86560,99,757,1466,169,151,149,420,418,665,39,532,1223,298,296,696,210,778,1549,93,1464,2876,94,178,417,52,1140,1808,1316,893,642,344,94,207,148,69,145,245,214,800,13,54,115,8,4,46,373,809,1691,94,1490,3009,279,171,378,70,1126,1708,93,1490,2836,0,30,44,4,39,256,91,107,205,514,152,474,0,0,0,198,1883,3678,11,1034,2136,95,1507,2091,9,20,196,2251,20341,101294,3351,33548,158778,0,1542,2319,200,59,438,4316,23821,124002,567,2192,13805,0,0,0,993,13151,55623,3050,15341,186973,340,185,19099,3,180,344,0,1,0,6167,20937,299681,10424,90185,407263,0,0,0,0,0,0
30,1777,13144,70521,1957,15215,74589,1,2,645,1262,12066,52115,1781,13148,69851,1217,1067,18399,171,2064,4059,4,173,328,53,254,1575,3,105,211,40,347,1064,0,0,0,1882,16999,93360,1508,11290,86419,96,761,1473,162,143,281,419,990,437,40,425,1209,338,287,682,193,761,2222,85,1506,2882,95,111,383,58,1062,1858,1611,935,862,320,121,152,153,74,166,256,225,508,12,52,161,4,4,49,347,803,1712,113,1655,2914,238,180,352,66,708,1810,96,1826,3468,2,78,129,1,21,283,102,544,539,475,120,433,0,1,0,281,1384,2931,101,1031,2439,124,1419,2710,38,26,245,2252,20341,101294,3351,33500,156924,0,2587,18999,192,18,887,4067,23738,112050,454,34085,14822,0,0,0,993,13760,56201,3216,14766,192198,354,225,19213,13,184,293,0,1,0,3748,21755,286940,10424,90185,406216,0,0,0,0,0,0
31,1777,13144,70611,1955,15215,74589,1,2,652,1261,12066,52115,1781,13148,69839,1217,1067,18399,171,2072,4059,28,344,431,53,481,975,18,194,187,51,296,967,0,0,0,1853,17068,93899,1522,11261,86300,101,751,1472,186,220,154,416,213,390,40,577,1208,303,270,662,205,1108,1603,93,1461,2848,122,123,403,70,1130,1712,1182,926,669,311,99,82,166,84,315,277,224,663,15,63,180,0,0,70,359,826,1699,63,1641,3013,292,283,370,56,1056,1690,75,1549,2901,0,24,121,1,19,251,84,123,180,491,149,1614,0,0,0,326,1532,3026,48,1248,2177,77,1405,2823,8,19,242,2252,20341,101294,3351,33499,156924,0,514,14572,131,19,716,3984,26809,111718,726,2518,18274,0,0,0,993,13151,55623,3111,14650,172417,380,254,18943,7,155,343,0,2,0,3812,21656,282468,10418,90185,406216,0,0,0,0,0,0
32,1777,13226,70521,1957,15215,74589,1,7,625,1262,12066,52115,1781,13148,69848,1201,1067,18520,171,2072,4059,11,100,337,28,181,1021,5,181,159,66,393,1018,0,0,0,1864,17037,93242,1504,11311,86070,92,756,1470,161,138,149,437,205,375,42,426,1213,318,258,710,223,770,1464,90,1459,2863,111,118,426,62,1132,1662,2036,809,711,289,115,89,109,229,201,268,184,539,11,55,164,3,25,54,341,747,2220,122,1482,3093,236,192,410,74,998,1722,121,1477,2828,0,27,125,5,20,291,62,99,152,440,168,508,0,1,0,324,1447,2972,63,1049,2139,127,1477,3246,11,21,206,2279,20341,101294,3350,33499,156924,2,971,2022,61,48,867,3735,23987,111884,418,14307,14461,0,0,0,993,13151,55623,3412,14223,176132,358,152,19099,0,180,335,0,0,0,3699,22368,324011,10424,90185,406216,0,0,0,0,0,0
33,1777,13144,70521,1957,15215,74589,1,2,648,1262,12066,52115,1781,13148,69932,1218,1067,18399,171,2071,4059,2,287,325,64,210,1013,14,122,419,50,399,1068,0,0,0,1775,17222,92689,1518,11280,86188,91,755,1468,170,145,212,411,204,440,40,406,1195,307,264,674,205,742,1563,75,1434,2851,130,113,390,58,1140,1820,884,744,1579,271,152,138,145,104,173,268,188,543,10,60,131,0,3,46,361,852,1737,67,1416,2975,313,173,855,62,932,1780,67,1527,2872,2,37,114,0,12,276,79,74,220,416,328,684,0,0,0,198,1480,3282,57,995,2227,78,1376,2914,9,51,181,2253,20341,102732,3351,33499,156912,0,1110,2457,100,59,1220,3901,24236,129148,515,2194,32953,0,0,0,993,13151,55623,3036,51530,173519,373,182,19039,13,174,336,1,0,0,3763,21501,343649,10424,90185,406216,0,0,37,0,0,0
34,1777,13144,70521,1957,15215,74589,2,2,644,1262,12066,52115,1778,13148,69844,1216,1129,18399,171,2072,4059,4,195,333,56,319,983,2,100,84,122,377,1600,0,0,37,1785,17150,91247,1515,11288,86652,103,757,1582,185,133,181,396,188,434,38,571,1185,297,257,1202,221,684,1577,117,1454,3206,105,108,481,58,1014,1738,815,728,1870,327,178,151,135,85,150,285,222,531,14,55,157,8,3,48,354,807,1728,95,1425,3381,300,175,478,76,1108,1828,110,1548,3138,0,35,107,6,37,280,125,92,198,345,174,418,0,0,20,180,1420,3143,23,1015,2144,131,1979,2756,28,19,187,2252,20341,101295,3351,33499,156924,0,14089,2176,76,51,992,3735,24734,116449,489,4512,35819,0,0,0,993,13151,55623,3317,15061,172046,481,1948,18980,0,198,300,2,0,0,3689,27539,301268,10424,90185,406216,0,0,0,0,0,0
35,1777,13144,70521,1955,15215,74723,2,2,650,1261,12066,52115,1781,13148,69867,1217,1104,18399,171,2072,4059,3,260,404,39,210,1169,5,141,98,71,225,1133,0,0,0,1839,16945,91100,1449,11428,85796,93,754,1482,172,156,169,400,181,415,39,491,1213,339,290,722,213,758,1573,62,1445,2899,101,106,427,66,994,1746,910,677,1449,283,148,209,113,73,185,250,157,657,12,62,268,9,2,42,356,1109,1780,88,1484,2902,351,177,888,78,1010,1910,159,1457,3220,0,25,79,0,21,264,104,84,173,422,223,1806,0,0,0,151,1393,3208,96,1037,2155,62,1350,3062,3,20,183,2252,20341,101294,3351,33499,157376,0,1022,18375,81,33,408,3901,24485,126077,544,3112,17095,0,0,0,993,13151,55623,3066,18016,173549,401,1413,24160,22,185,334,0,0,0,3707,22234,320519,10418,90185,409960,0,0,0,0,0,0
36,1777,13144,70521,1957,15215,74590,1,2,660,1262,12066,52596,1781,13226,69826,1217,1067,18399,171,2072,4120,2,242,376,31,234,965,4,107,187,48,333,1132,0,0,0,1793,17110,92063,1539,11361,85667,103,754,1464,181,149,151,410,190,503,40,457,1209,311,300,657,215,747,1719,104,1450,2817,116,111,588,54,828,1732,837,682,1372,263,171,52,194,102,153,268,153,1292,12,76,164,2,4,46,360,860,1714,175,1493,2948,399,551,925,24,794,1758,127,1517,3005,1,33,295,12,46,252,119,51,268,424,276,493,0,0,2,205,1385,4147,31,1050,2092,96,1409,2700,8,25,193,2251,20341,101294,3350,33499,156924,0,2296,18618,106,212,412,5146,25647,133713,431,2704,14322,0,0,0,993,13151,55792,3105,14617,180306,365,370,16080,20,161,280,1,0,0,4461,70677,304227,10424,90185,406216,0,0,0,0,0,0
37,1777,13144,71060,1957,15215,74589,1,2,636,1262,12066,52115,1778,13148,69835,1217,1067,18399,171,2072,4059,2,304,355,51,189,2023,2,451,102,64,340,931,0,0,0,1879,17129,91326,1530,11258,86387,89,761,1461,164,130,423,400,186,266,40,469,1147,306,263,654,214,760,1874,80,1430,2823,114,117,177,64,1142,1842,680,713,2091,342,137,94,153,114,510,250,158,699,7,72,175,7,0,57,348,855,1699,268,1453,2963,367,205,795,54,832,1866,164,1530,4041,0,28,122,6,29,255,123,36,119,4197,159,505,1,0,0,257,1531,3322,82,1001,2242,85,1408,2677,5,20,225,2252,21281,101294,3351,33499,156924,0,3540,2603,58,41,385,6059,23904,129065,408,3665,13677,0,0,0,993,13151,55623,3360,14230,169938,346,202,19433,0,179,338,0,0,0,3708,21838,333836,10424,90185,406216,0,37,0,0,0,0
38,1794,13144,70521,1957,15215,74589,1,2,1105,1261,12066,52115,1781,13148,69876,1216,1067,18399,171,2071,4059,0,143,319,58,189,996,15,129,88,81,793,817,0,0,0,1801,17497,92049,1575,11321,86315,91,833,1468,172,131,144,407,866,205,59,500,1231,312,793,689,210,684,1599,82,1818,2922,120,107,169,72,1116,1804,839,700,701,309,153,55,126,70,155,235,130,742,6,68,139,2,4,57,351,843,1673,91,1972,3103,347,189,857,78,1046,1720,104,1533,3301,1,41,131,1,23,283,99,39,136,3497,168,457,0,32,1,222,1472,3113,60,987,2119,95,1434,4186,11,18,201,2252,20341,101294,3351,33499,156907,0,4271,2233,108,66,411,4814,24734,116034,629,2573,38524,0,0,0,993,13151,55623,3382,14135,187526,363,150,18822,13,181,352,0,0,0,3689,21340,326694,10418,90185,406216,0,0,0,0,0,0
39,1777,13144,70521,1957,15215,74589,1,2,711,1262,12066,52115,1781,13148,70009,1217,1067,18439,171,2072,4059,5,338,427,47,246,1103,1,117,141,54,350,855,0,37,0,1889,17682,91434,1642,11283,90818,91,757,1458,174,119,146,426,199,201,53,567,1202,328,260,933,215,743,1506,106,1461,2899,120,117,175,66,1140,1744,884,876,630,322,134,80,141,63,179,241,145,686,12,40,111,6,4,37,360,853,2799,132,1455,2910,349,174,1161,66,932,1794,146,1472,3025,2,28,138,0,19,235,98,45,163,485,156,597,0,0,4,170,1410,2914,41,1038,2202,106,1407,2864,6,21,248,2252,20341,101294,3350,33499,156924,0,2285,15439,75,80,493,3735,24983,128733,697,2305,13220,0,0,0,993,13151,55623,3416,15492,195479,347,175,18774,1,186,344,0,0,0,3727,22197,300369,10424,90185,406216,0,0,0,0,0,0
40,1775,13144,70521,2497,15355,74589,2,2,658,1262,12066,52115,1781,13148,69750,1217,1067,18399,177,2072,4059,3,178,330,23,482,1103,5,79,248,41,334,2102,0,0,0,1892,17415,91767,2205,11284,87226,89,759,1660,161,105,148,406,201,192,45,540,1200,345,251,1097,211,776,1635,66,1519,3691,117,118,176,72,1138,1680,1305,782,557,338,231,108,159,73,214,242,182,562,5,98,161,1,4,54,1596,833,1791,103,1462,4329,392,173,830,74,854,1750,88,1476,2905,1,38,113,4,16,304,98,96,146,272,169,5299,0,0,3,293,1473,2981,90,1054,2091,74,1424,2869,6,21,210,2252,20341,101563,3351,33499,156924,0,36731,1782,206,23,403,3403,55693,115702,512,2142,13680,0,0,0,993,13151,55623,3174,44905,201227,394,4857,19003,18,163,315,0,16,0,3709,21012,323259,10424,90185,406216,0,0,0,0,0,0
41,1777,13144,70521,1957,15215,75351,1,2,668,1262,12066,52115,1781,13148,69773,1217,1067,18399,172,2072,4059,3,157,367,27,397,1094,4,157,130,102,259,992,0,0,0,1787,17174,91829,1545,11376,87117,128,760,1451,171,102,194,403,200,208,42,546,1228,335,269,693,217,764,1558,102,1477,2860,100,114,176,60,1126,1860,1571,797,711,336,158,402,183,70,159,288,801,693,10,59,342,9,3,97,489,780,1712,108,1447,2971,385,164,713,54,976,1788,102,1496,2917,0,29,128,0,19,269,132,75,206,248,322,515,0,0,5,155,1448,2936,18,1014,2132,106,1435,2754,7,14,186,2252,20341,101294,3351,33917,156924,0,1872,2263,71,28,341,3818,25564,121097,477,2953,13778,0,0,0,993,13151,55623,3243,15895,178360,351,422,20627,4,167,339,0,3,6,3705,21163,322631,10418,93408,406216,0,0,0,0,0,0
42,1777,13144,70521,1957,15215,74589,2,2,652,1262,12201,52115,1781,13148,69750,1216,1067,18399,171,2151,4299,0,158,345,56,266,978,1,130,221,77,334,985,0,0,0,1831,17230,91409,1510,11273,87142,202,760,1478,141,108,162,374,284,339,41,567,1306,332,269,703,214,736,1652,72,1497,2848,128,278,162,64,794,1838,942,537,741,386,144,283,160,62,165,238,228,877,13,60,217,5,6,77,367,830,1747,126,1448,2860,322,171,693,68,1034,1762,113,1583,2917,0,47,105,1,19,281,128,55,187,256,174,211,0,0,0,119,2422,3544,112,982,2166,118,1452,2844,10,19,157,2252,20341,101294,3350,33499,158839,0,3601,1773,79,43,400,3486,45152,115702,725,3907,28139,0,0,0,993,13151,55623,3166,15950,183015,369,356,19115,11,180,324,0,2,0,3884,21071,331435,10424,90186,407175,0,0,0,0,0,0
43,1775,13144,70521,1955,15215,74589,1,2,647,1262,12134,52179,1781,13148,69727,1297,1067,18399,171,2071,4059,3,168,386,69,218,1232,0,171,104,37,338,829,0,0,0,1781,17200,92701,1488,11296,86794,208,758,1477,182,113,437,333,177,195,35,536,1278,314,289,714,211,685,2254,100,1499,2884,120,116,252,64,1140,1832,814,515,854,310,180,165,204,92,149,263,183,565,13,62,183,1,5,61,335,771,1697,73,1447,2895,393,164,824,50,872,1806,83,2061,3440,1,159,210,3,15,266,115,255,508,225,165,3445,0,0,0,160,1513,3063,25,1004,2538,130,1478,2773,19,20,163,2252,20341,101294,3351,33499,156924,0,3558,40386,70,63,365,3486,24900,114955,529,2112,15723,0,0,0,993,13325,56186,3380,15812,179204,351,145,18809,12,183,332,0,4,2,3819,20897,310694,10424,90185,406216,0,0,0,0,0,0
44,1777,13144,70621,1957,15215,74589,1,2,673,1262,12066,52115,1781,13148,69686,1217,1067,18399,171,2072,4059,1,116,325,44,912,1424,0,97,116,54,356,1205,0,0,0,1845,17200,91842,1489,11270,85670,187,752,1482,172,345,170,389,195,195,41,578,1318,306,267,699,212,929,1604,75,1452,2868,113,137,169,74,1112,1600,734,419,1042,360,118,159,150,59,263,243,201,508,13,56,162,4,4,70,350,811,1766,124,1446,2911,384,171,857,62,1070,1806,138,1577,2964,0,31,124,3,15,265,120,86,154,212,178,1694,0,0,0,133,1435,2967,65,1082,2216,122,1392,2861,11,17,200,2251,20341,101294,3351,33499,156916,439,305,1807,115,72,421,3818,23406,114540,425,2408,14443,0,0,0,993,13151,55623,29939,15628,165009,355,369,19886,1,182,321,0,5,2,3690,20683,310961,10424,90185,406216,0,0,0,0,0,0
45,1777,13403,70521,1957,15215,74589,1,12,648,1262,12066,52115,1781,13148,69620,1217,1067,18512,171,2072,4059,7,61,385,51,362,971,7,66,106,73,350,1164,0,0,0,1937,17169,90227,1444,11243,86749,254,749,1476,190,148,177,1148,197,191,42,593,1298,303,268,684,203,779,1629,100,1498,2814,124,129,193,72,1116,1830,1016,956,715,332,140,177,116,546,140,250,166,606,11,58,139,0,13,49,334,847,2010,78,1538,2963,386,170,881,70,1064,1724,86,1491,2896,0,37,116,3,16,281,92,72,129,224,163,1241,0,0,0,147,1399,2933,67,1043,2158,91,1411,3338,7,70,177,2252,20341,101294,3351,33499,156924,0,2529,1945,75,20,456,3569,24070,122923,482,27477,12680,0,0,0,1014,13151,55623,6933,15924,183980,358,230,19340,18,161,374,0,2,1,3728,23487,389405,10424,90185,406216,0,0,0,0,0,0
