,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LD_INS,PAPI_LD_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_RES_STL,PAPI_RES_STL,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SR_INS,PAPI_SR_INS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_SP,PAPI_VEC_SP,PAPI_VEC_SP
9,1775,13144,70521,1957,15488,74862,1,2,642,1262,12066,52115,1780,13147,69846,1217,9098,18399,171,2062,4120,0,181,332,54,280,910,9,189,339,61,409,1169,0,0,0,1877,17278,89741,1546,11547,86062,98,753,1475,168,140,206,421,197,447,37,580,1207,320,268,670,214,732,1545,79,1455,2845,123,116,350,60,1090,1814,1598,756,3864,433,171,217,99,78,218,219,181,1359,11,42,181,0,10,48,322,1129,1690,78,1442,2888,331,187,352,66,1106,1794,86,1639,2941,1,45,64,5,20,348,141,74,184,223,205,472,0,0,1,321,1530,4522,80,991,2165,121,1465,2937,9,21,252,2252,20341,101294,3351,33499,157398,0,4761,1274,166,53,430,3569,23821,169320,352,15533,45563,0,0,0,993,13151,55623,3166,18800,188423,539,287,19768,3,184,311,0,1,0,3741,30754,180474,10424,90185,411802,0,0,0,0,0,0
10,1777,13144,70521,1957,15215,74589,2,2,641,1261,12066,52475,1781,13220,69840,1218,9098,18399,171,2062,4059,3,175,347,15,391,1063,13,502,420,64,470,1202,0,0,0,1953,16912,88484,1427,11293,86329,96,755,1521,143,145,178,438,187,535,39,529,1231,315,272,633,209,766,1764,101,1452,2883,125,107,519,66,1152,1842,2377,717,4282,353,123,127,87,51,213,232,203,403,15,38,170,5,10,57,347,873,1704,88,1454,2878,303,935,355,58,1110,1596,137,1482,3649,0,34,227,1,24,354,108,44,369,245,176,469,0,0,0,111,1456,2983,9,1030,2096,97,1469,2642,22,14,214,2252,20341,101294,3351,33499,156924,0,1091,24649,130,254,410,3901,23074,194967,516,3311,22078,0,0,0,993,13151,55805,3200,14581,165860,406,424,19664,15,177,337,1,0,0,4621,21095,177499,10418,90185,406216,0,37,0,0,0,0
11,1777,13144,71022,1957,15215,74589,1,2,1104,1262,12066,52115,1781,13147,69870,1218,29667,18399,171,2062,4059,7,221,337,32,323,1817,4,143,257,101,470,1120,0,0,0,1846,17158,89403,1538,11343,85778,92,754,1570,202,143,454,439,182,364,39,603,1203,323,589,693,238,766,1565,100,1501,2862,122,113,354,64,1110,1624,1662,719,2028,576,140,232,100,81,799,212,222,611,13,45,129,0,7,77,660,861,1700,106,1486,2969,306,261,605,60,1064,1720,107,1484,3004,1,56,113,6,17,357,153,91,183,764,369,460,0,0,2,196,1522,2972,104,1049,2243,83,1429,2662,7,22,214,2251,21281,101294,3351,33499,156924,0,3888,17843,181,72,380,3901,22410,174051,4681,2917,54001,0,0,0,993,13151,55623,3239,14208,176800,362,355,19268,13,163,349,0,0,0,4071,22180,178961,10424,90185,406216,0,0,0,0,0,0
12,1777,13144,70521,1957,15215,74589,1,2,762,1262,12066,52115,1777,13147,69856,1218,9090,18438,171,2062,4059,2,228,345,57,333,995,0,122,179,78,976,1176,0,0,0,2025,17613,88415,1568,11285,85833,99,845,1471,182,137,187,424,193,370,41,495,1222,298,1325,677,206,760,1565,76,1785,2871,116,112,374,78,1108,1738,1415,700,1148,296,137,127,98,66,264,262,245,780,10,39,146,3,7,45,688,818,1720,50,2018,2927,340,262,422,54,1030,1732,110,1525,2813,67,50,105,3,18,345,152,73,171,1104,168,432,0,34,1,174,1422,2949,50,1024,2133,144,1441,4264,8,50,198,2252,20341,101294,3351,33499,156907,0,1237,2763,210,11,351,3735,25979,134958,1298,2987,26304,0,0,0,993,13151,55623,3030,15359,164923,344,392,19286,0,182,371,1,2,0,3722,21710,185222,10424,90185,406216,0,0,0,0,0,0
13,1777,13144,70521,1955,15215,74589,2,2,697,1261,12066,52115,1781,13147,70100,1218,9117,18399,171,2062,4059,11,127,324,42,298,1068,0,201,290,30,404,1296,0,37,0,1966,17102,90229,1517,11283,88745,93,751,1472,133,132,151,419,202,404,38,457,1206,350,428,680,214,762,1569,97,1464,2886,110,119,440,74,944,1786,2300,642,1025,300,123,124,142,93,200,242,232,731,31,44,146,10,10,42,515,833,2460,111,1504,2960,362,209,717,68,1104,1686,118,1519,2943,5,50,138,1,21,346,107,56,229,706,130,2704,0,0,1,133,1548,3003,59,976,2216,75,1445,2890,1,27,187,2252,20341,101625,3351,33499,156905,0,1444,24740,136,37,444,3818,61005,127903,239,2434,53308,0,0,0,993,13151,55623,3239,16367,229914,359,7424,19574,16,184,325,2,22,0,3715,49080,197891,10418,90185,406216,0,0,0,0,0,0
14,1777,13144,70521,1957,15417,74589,1,2,672,1262,12066,52115,1781,13147,69740,1217,9098,18399,171,2062,4059,8,312,324,63,237,949,12,147,65,86,431,2603,0,0,0,1828,16998,90663,1493,11259,86889,94,754,1741,169,136,151,439,1295,424,40,578,1181,331,386,867,211,759,1522,74,1419,3816,127,114,360,52,1090,1808,1171,635,1693,380,182,146,134,89,186,287,216,632,27,116,125,0,10,58,376,841,1815,81,1424,4100,325,183,405,62,1160,1810,75,1510,2915,0,42,129,2,16,272,141,12,202,706,117,472,0,0,9,216,1459,2927,83,983,2103,146,1480,2638,3,37,215,2251,20341,101294,3350,33499,156924,0,234,1695,254,71,385,3818,24568,116615,368,2738,17980,0,0,0,993,13151,55623,3182,14075,167355,357,406,19044,0,178,347,1,4,0,3940,22014,178278,10542,90185,406216,0,0,0,0,0,0
15,1775,13144,70521,1957,15215,75313,1,2,664,1262,12066,52115,1778,13147,69760,1218,9098,18399,171,2120,4059,9,119,374,53,171,940,13,126,89,60,453,1206,0,0,0,1821,17174,89241,1418,11265,86650,96,756,1469,201,126,139,428,211,403,37,461,1213,294,425,710,209,776,1506,138,1451,2895,141,120,453,74,1042,1750,1168,644,2343,327,142,108,119,76,191,287,888,721,26,62,269,7,3,50,356,849,1674,94,1461,2942,313,177,375,44,1080,1826,114,1518,2866,0,51,114,4,16,364,121,4,188,759,291,471,0,0,0,255,2930,2892,21,1039,2227,82,1441,2650,4,39,196,2252,20341,101294,3351,34064,156924,0,1909,2185,178,79,419,3735,24983,120101,499,3418,16178,0,0,0,993,13151,55623,3164,14272,176800,364,141,19212,24,171,319,0,3,2,3694,21249,179016,10425,93008,406216,0,0,0,0,0,0
16,1775,13144,70521,2228,15215,74589,2,2,639,1262,12223,52163,1778,13147,69811,1218,9098,18399,171,2062,4293,2,307,423,40,298,1123,8,105,144,41,381,1053,0,0,0,1825,17337,89106,1502,11283,86566,87,755,1464,169,131,147,440,278,662,38,452,1139,323,308,648,217,762,1546,108,1457,2846,148,293,511,56,1124,1694,985,760,860,338,151,342,143,99,177,277,251,842,12,71,160,0,3,48,367,836,1716,81,1515,2937,362,183,376,56,1114,1766,103,1525,2869,1,187,201,0,19,383,116,6,196,677,191,504,0,0,2,379,1575,3613,100,1002,2091,78,1405,2920,7,36,190,2252,20341,101294,3351,33499,158594,0,1710,3657,240,10,442,4067,27805,113627,444,2428,36050,0,0,0,993,13151,55623,3207,12044,161328,363,100,19414,16,161,332,0,0,0,3750,21469,179100,10424,90185,407033,0,0,0,0,0,0
17,1777,13144,70521,1957,15215,74589,1,2,671,1262,12066,52115,1781,13147,69813,1218,9098,18399,171,2062,4059,3,53,348,64,244,1576,1,136,154,68,449,1087,0,0,0,1772,16981,88817,1516,11445,87129,102,761,1468,174,142,304,431,174,462,38,515,1204,307,286,672,215,817,2602,134,1438,2833,113,124,378,62,1062,1860,934,688,960,371,163,266,126,104,181,262,160,675,7,56,171,7,1,45,359,853,1705,66,1523,2910,314,171,353,64,1112,1696,104,2503,3498,0,44,127,34,20,314,87,297,575,680,403,1994,0,0,1,334,1465,2947,28,1040,2559,64,1489,2595,2,32,204,2251,20341,101294,3351,33499,156924,0,1071,15674,193,47,587,3901,26228,119603,805,2740,26719,0,0,0,993,13325,56223,3268,47801,176424,341,173,18833,0,183,321,0,2,0,3739,21763,194748,10424,90185,406216,0,0,0,0,0,0
18,1777,13144,70610,1957,15215,74589,1,2,683,1262,12066,52115,1781,13147,69825,1218,9098,18399,171,2062,4059,6,56,372,85,1036,1180,5,154,140,45,481,1072,0,0,0,1847,17014,89439,1408,11338,86671,92,758,1471,135,482,154,428,190,449,39,540,1218,311,275,673,212,859,1653,88,1528,2850,117,123,413,64,1132,1726,1073,832,664,338,135,361,76,132,364,244,188,798,10,43,149,4,3,87,357,842,1749,118,1421,2938,336,181,360,74,1060,1712,104,1568,2981,0,56,128,7,18,344,89,59,182,2657,150,456,0,0,1,425,1410,2914,68,1077,2141,84,1450,3010,40,15,226,2252,20341,101294,3351,33499,156923,0,2094,22256,409,64,400,4067,26062,113295,590,3540,34454,0,0,0,993,13151,55623,3130,15060,187469,379,376,16647,13,183,308,0,0,0,3718,20936,178031,10424,90185,406216,0,0,0,0,0,0
