"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: applicationSize","Param: baseStructureSize","Param: datastructureName","Param: seed"
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,142.005471,45.020892,"ops/s",10,0,LinkedList,0
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,6845316.208597,284491.755213,"ops/s",10,0,LinkedList,1
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,233164.021055,12972.312164,"ops/s",10,0,LinkedList,2
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,3996262.601525,75883.118515,"ops/s",10,0,LinkedList,3
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,277.483706,216.763054,"ops/s",10,0,LinkedList,4
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,2357.753240,1599.724117,"ops/s",10,0,LinkedList,5
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,516.972890,236.584314,"ops/s",10,0,LinkedList,6
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,9038043.532890,511671.880285,"ops/s",10,0,LinkedList,7
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1664653.200437,72526.868058,"ops/s",10,0,LinkedList,8
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,6391211.693710,326159.979884,"ops/s",10,0,LinkedList,9
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,282.592292,124.230182,"ops/s",10,0,LinkedList,10
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1908965.893851,34178.808755,"ops/s",10,0,LinkedList,11
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,855848.654258,47245.501808,"ops/s",10,0,LinkedList,12
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,144.232683,56.855993,"ops/s",10,0,LinkedList,13
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,105150.844492,3005.310371,"ops/s",10,0,LinkedList,14
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,6950386.686271,891143.471877,"ops/s",10,0,LinkedList,15
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,1646040.926577,45450.311866,"ops/s",10,0,LinkedList,16
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,356.259714,143.221727,"ops/s",10,0,LinkedList,17
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,7275296.190235,959492.663566,"ops/s",10,0,LinkedList,18
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,539.355964,238.555239,"ops/s",10,0,LinkedList,19
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,324.581948,150.291555,"ops/s",10,0,ArrayList,0
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,7592260.267605,1244033.536125,"ops/s",10,0,ArrayList,1
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,838559.847400,13604.928631,"ops/s",10,0,ArrayList,2
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,4664362.937907,192244.016455,"ops/s",10,0,ArrayList,3
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,662.410114,191.296317,"ops/s",10,0,ArrayList,4
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,7526.320669,2758.653860,"ops/s",10,0,ArrayList,5
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,936.551899,369.715918,"ops/s",10,0,ArrayList,6
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,7799064.740986,446637.467505,"ops/s",10,0,ArrayList,7
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,2645356.183009,69247.227308,"ops/s",10,0,ArrayList,8
"se.lth.cs.jmh.ListApplicationBenchmark.ListApplicationBenchmark","thrpt",1,10,5649932.912725,260874.196753,"ops/s",10,0,ArrayList,9
