application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
81:java.util.ArrayList,java.util.ArrayList,2941516.5,3455362.0,46.0,3908918.5,1310717.0,49347.0,28587.5,25.0,3304.5,5357.0,482.5,0.0,3733811.0,2141212.0,11423.0,547.0,658.0,113.5,8283.5,8765.5,8460.5,11875.0,98.0,416.5,349.5,93.0,435.0,1535.5,12.0,13327.0,9064.0,11589.0,116.0,3446.5,666.0,20.0,119.5,44.0,0.0,10298.5,55.0,14964.5,21.0,6023705.5,2910767.0,10.0,1278.5,1107510.5,56317.0,0.0,101257.0,105945.5,2922.0,3.0,7.0,1556131.0,1.86337565E7,0.0,0.0
82:java.util.LinkedList,java.util.LinkedList,538.0,742.0,0.0,430.0,540.0,106.0,197.0,0.0,10.0,4.0,1.0,0.0,956.0,716.5,70.0,115.0,68.0,14.0,161.0,159.5,33.0,44.0,23.0,155.0,131.0,1.0,100.0,3.0,0.0,275.5,40.0,167.0,22.0,39.0,1.0,0.0,0.0,0.0,0.0,45.0,18.0,57.5,0.0,1457.0,1999.0,0.0,21.0,1743.0,279.5,0.0,539.0,1122.5,410.0,0.0,4.0,2416.5,4186.0,0.0,0.0
83:java.util.ArrayList,java.util.ArrayList,1051790.5,1239111.0,63.0,1372506.0,487347.5,21764.0,13208.0,321.0,4314.5,3551.5,317.5,0.0,1339951.0,777070.5,6029.0,530.0,403.0,438.5,4715.0,3929.5,6491.0,4532.5,569.0,402.5,331.5,21.0,412.0,1486.0,54.0,6043.5,8624.0,5707.5,730.0,1810.0,356.0,92.0,63.0,29.0,1.0,10746.0,782.5,19272.5,136.5,2176850.5,1084216.0,4162.5,494.0,418735.0,41012.5,0.0,51438.0,47762.0,2717.0,5.0,13.0,594077.5,6680062.5,0.0,0.0
84:java.util.ArrayList,java.util.ArrayList,1114.0,1309.0,1.0,907.0,1117.0,209.0,184.0,0.0,22.5,4.0,6.5,0.0,1439.5,1020.0,67.0,138.0,125.0,14.5,200.0,190.0,49.5,43.0,24.0,158.5,141.0,2.0,135.0,2.0,0.0,311.5,59.0,180.0,24.0,54.5,0.0,0.0,3.0,1.0,0.0,66.0,24.5,60.5,0.0,2140.5,2762.0,66.0,23.0,2407.0,292.5,0.0,611.0,1709.5,671.0,0.0,8.0,3677.0,6860.0,0.0,0.0
85:java.util.ArrayList,java.util.ArrayList,543.0,765.0,1.0,431.0,544.0,110.0,215.0,0.0,18.0,8.5,4.0,0.0,971.0,785.0,67.0,120.0,77.0,12.0,179.5,167.0,43.0,45.0,20.0,150.0,127.0,1.0,110.5,2.0,0.0,298.5,57.5,160.0,20.0,47.5,4.0,0.0,2.0,1.0,0.0,51.0,15.0,55.0,1.0,1520.0,2047.0,0.0,19.0,1494.0,234.5,0.0,524.0,1152.0,342.0,0.0,4.0,2522.0,4307.0,0.0,0.0
86:java.util.ArrayList,java.util.ArrayList,1042448.5,1232633.0,37.0,1374039.5,460892.0,17910.0,13168.5,324.5,3991.5,7356.5,415.5,0.0,1346775.5,779971.0,10598.5,494.0,572.0,397.5,7965.0,7832.0,12854.5,10545.5,528.0,441.0,345.5,57.0,383.5,1931.5,42.5,11841.0,9755.5,10509.5,683.0,2493.5,744.5,78.0,104.0,42.5,1.0,10173.5,714.0,18061.0,138.5,2177408.5,1058836.5,4534.0,746.0,400018.5,48460.0,0.0,51013.5,56766.0,2817.0,5.0,13.0,578451.0,6668298.0,0.0,0.0
87:java.util.LinkedList,java.util.LinkedList,549.0,745.0,2.0,436.0,548.0,111.0,188.0,1.0,15.0,8.0,2.0,0.0,958.5,789.0,63.0,136.0,70.0,13.0,194.0,176.0,39.0,45.0,24.0,160.5,155.0,1.0,115.5,3.0,0.0,331.0,52.5,169.0,24.0,38.0,2.0,0.0,1.0,2.0,0.0,57.0,14.5,62.0,0.0,1434.0,1966.0,0.0,22.5,1992.0,206.5,0.0,526.0,1649.0,646.0,0.0,9.0,3021.0,4205.0,0.0,0.0
88:java.util.LinkedList,java.util.LinkedList,588.0,801.0,1.0,453.0,587.0,134.0,207.0,0.0,20.0,5.0,5.5,0.0,1023.5,856.5,73.0,132.0,75.5,14.0,213.5,189.0,42.0,50.0,22.0,178.0,161.0,1.0,133.0,2.0,0.0,344.0,59.5,172.0,22.0,46.5,1.0,0.0,1.0,3.0,0.0,55.0,13.0,63.5,0.0,1546.5,2119.0,0.0,24.0,1992.0,223.0,0.0,566.5,1661.0,633.0,0.0,8.0,3101.0,4516.0,0.0,0.0
89:java.util.ArrayList,java.util.ArrayList,579.0,785.0,1.0,442.0,580.0,135.0,199.0,1.0,16.0,6.5,6.0,0.0,1005.0,702.5,82.0,146.0,85.0,17.0,210.5,200.0,57.0,52.0,30.0,166.0,162.0,2.0,136.0,2.0,0.0,358.0,66.5,186.0,29.0,54.0,0.0,1.0,1.0,2.0,0.0,66.5,22.0,70.0,2.0,1493.0,2123.0,73.0,28.5,1535.5,278.5,0.0,627.0,1068.0,444.0,0.0,8.0,2468.5,4473.0,0.0,0.0
8:java.util.ArrayList,java.util.ArrayList,25844.0,27000.0,17.0,22629.0,25822.0,3225.0,1149.0,1.0,23.5,7.5,6.0,0.0,24830.0,14607.0,84.0,142.5,85.0,16.0,240.0,226.0,59.0,56.0,26.0,232.0,170.0,1.0,152.5,5.0,0.0,344.0,69.5,199.5,24.0,53.0,1.0,1.0,1.0,3.0,0.0,69.0,24.0,71.0,1.0,38011.0,39772.0,30.0,32.0,20003.0,835.5,0.0,1753.0,2657.5,505.5,0.0,10.0,29985.0,127989.0,0.0,0.0
