application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
17:java.util.ArrayList,java.util.ArrayList,18340.0,19825.0,24.0,15992.5,18330.0,2357.0,1489.0,6.0,53.5,37.0,52.5,0.0,18951.5,14886.5,283.0,285.0,166.0,96.0,606.5,567.0,280.0,136.0,166.0,408.0,358.0,14.0,324.0,10.5,4.0,794.0,283.0,434.5,164.0,287.5,3.5,4.0,15.0,11.0,0.0,287.5,152.0,292.0,4.0,30435.0,34114.5,19.0,166.0,26394.0,1973.5,0.0,3673.5,12497.5,3551.5,1.0,4.5,38429.0,97872.5,0.0,0.0
18:java.util.ArrayList,java.util.ArrayList,9.4202971E7,1.13084667E8,1636.0,1.22367121E8,4.1276618E7,1618576.5,1863703.5,21169.0,1.12970235E7,2.040565E7,1485647.5,0.0,1.29852778E8,8.74991955E7,1.10392055E7,7497.5,1474235.0,26073.5,7244451.5,6526780.5,3.022843E7,1.01024775E7,19736.0,1350.0,316.5,2136.5,3180.0,4832513.0,2484.5,1.0594872E7,3.99191465E7,9477296.5,26511.0,1.52148385E7,3311345.5,12682.5,3663.0,1253.5,19.0,2.7231565E7,18503.5,4.130319E7,23423.5,2.144835015E8,1.051294685E8,182445.5,5176469.5,5.0713664E7,4.6393573E7,0.0,6403133.0,3.2641246E7,95897.0,271.5,132.5,7.1419985E7,6.2687898E8,0.0,0.0
19:java.util.ArrayList,java.util.ArrayList,8538.0,10745.0,5.0,6705.0,8545.0,1841.0,2205.5,9.0,70.5,51.5,73.0,0.0,12400.5,11922.5,329.0,267.5,195.0,115.5,618.0,569.0,349.0,171.0,195.0,416.0,303.0,12.0,317.0,8.0,7.0,804.0,354.0,429.0,195.0,353.5,4.0,7.5,14.0,14.0,0.0,357.5,202.0,354.0,11.0,20862.0,26219.0,196.5,195.0,19505.0,2769.5,0.0,5353.0,13246.0,3290.0,1.0,4.5,29996.5,58666.0,0.0,0.0
1:java.util.ArrayList,java.util.ArrayList,111106.0,115289.0,93.5,97057.5,111049.0,14018.5,4181.0,14.5,94.5,62.0,132.0,0.0,102241.5,61937.0,431.0,360.0,231.0,152.0,867.0,756.0,492.0,197.0,260.0,913.0,438.0,43.5,448.0,10.0,14.5,1071.0,509.5,583.5,257.0,519.5,5.0,12.0,37.0,40.0,0.0,506.0,266.5,492.5,10.0,164433.5,173635.0,259.0,274.0,87316.0,4011.0,0.0,9203.5,20082.5,4448.5,5.0,7.0,144549.5,547953.5,0.0,0.0
20:java.util.ArrayList,java.util.ArrayList,32576.0,35910.0,41.0,27772.0,32528.5,4800.5,3338.0,11.5,94.0,75.0,94.0,0.0,36078.0,25957.5,393.5,330.5,222.0,138.0,753.5,723.0,436.0,187.0,240.0,432.5,362.0,16.5,376.5,14.0,8.0,965.5,463.0,526.5,242.0,435.0,9.0,8.0,22.5,17.0,0.0,459.0,230.0,451.5,9.0,56519.0,63380.0,111.5,249.5,37308.5,3341.5,0.0,6866.0,16507.5,4166.0,2.0,7.0,59715.5,179415.0,0.0,0.0
216:java.util.LinkedList,java.util.LinkedList,6522.5,8344.0,17.0,5143.0,6516.0,1388.0,1820.5,10.5,73.0,60.0,71.0,0.0,9634.0,10747.5,436.0,319.5,224.0,147.0,799.0,824.0,423.5,192.0,260.0,402.5,372.5,11.5,383.0,10.0,7.0,974.5,457.5,510.0,266.0,451.5,3.0,8.0,17.0,11.0,0.0,430.0,235.0,443.5,7.0,16752.5,21881.0,0.0,240.0,20999.0,2823.0,0.0,5115.0,16255.5,4779.5,1.0,8.0,31658.0,47406.0,0.0,0.0
2253:java.util.LinkedList,java.util.LinkedList,4623.0,6151.0,3.0,3837.0,4632.0,798.0,1525.0,7.0,56.0,32.5,46.0,0.0,7635.0,9020.5,247.0,224.0,148.0,110.0,493.0,561.5,299.0,117.0,200.0,308.0,269.0,6.0,286.5,6.0,7.0,705.0,302.0,327.0,204.0,297.0,2.0,5.0,10.0,6.0,0.0,310.5,181.0,309.0,6.0,12922.0,17045.0,0.0,171.0,16434.0,2138.5,0.0,4120.5,12325.0,3508.0,1.0,6.0,23551.0,35181.0,0.0,0.0
2289:java.util.LinkedList,java.util.LinkedList,4676.0,6309.0,22.0,3934.0,4668.0,752.0,1545.0,7.0,57.5,48.0,54.5,0.0,7967.0,9128.0,246.0,220.5,132.5,121.0,511.5,406.0,336.5,101.0,226.0,283.0,254.5,12.0,284.0,7.0,6.0,629.0,353.0,311.5,224.0,341.5,3.0,5.0,10.0,7.0,0.0,353.5,205.5,349.5,6.0,13212.0,17549.5,0.0,192.0,15189.0,1973.0,0.0,4326.0,12600.5,3554.0,1.0,6.0,24457.0,36500.0,0.0,0.0
246:java.util.LinkedList,java.util.LinkedList,4406.5,5976.0,24.0,3726.0,4397.5,745.0,1412.0,6.0,44.5,32.5,43.0,0.0,7214.5,9193.5,213.0,207.0,119.0,103.0,460.0,385.0,278.0,84.0,192.0,289.0,259.0,6.0,242.0,7.0,5.0,589.5,287.0,311.0,188.0,290.0,2.0,4.0,8.0,7.0,0.0,295.0,170.5,299.0,5.0,12216.5,16083.0,0.0,158.0,14442.0,1885.0,0.0,3859.0,12700.0,3474.5,1.0,10.0,23318.0,33180.5,0.0,0.0
279:java.util.LinkedList,java.util.LinkedList,4806.0,6353.0,12.0,4087.0,4807.0,733.0,1540.5,7.0,60.5,45.5,63.5,0.0,8279.0,9432.0,294.0,237.0,164.5,131.0,572.5,546.0,362.5,134.0,229.0,329.0,287.0,11.0,289.0,7.5,6.0,707.0,372.5,355.0,240.0,385.0,3.0,8.5,13.0,9.0,0.0,371.5,216.0,365.0,8.0,13442.0,17873.0,0.0,211.0,17181.0,2116.5,0.0,4438.0,13506.0,3750.0,1.0,5.0,24861.5,37519.0,0.0,0.0
